ip.src,ip.dst,frame.len,count,dst_bytes,src_bytes,labels
24.225.42.129,62.208.61.25,843,240,8,24524,attack
75.61.167.20,190.126.63.144,712,223,5,12258,attack
172.63.162.76,131.227.128.103,913,166,2,22123,attack
8.225.204.227,208.194.125.57,930,475,2,36053,attack
123.241.126.207,136.214.217.90,240,338,3,13499,attack
210.152.86.79,243.217.137.148,198,60,7,22618,attack
240.132.171.140,64.158.217.63,251,321,2,37778,attack
48.160.195.239,38.116.233.92,125,114,5,14908,attack
182.110.53.87,6.202.156.79,1050,341,10,38111,attack
11.159.187.64,180.218.12.206,1409,102,3,10124,attack
159.49.132.14,68.186.150.91,360,181,8,19762,attack
242.242.125.23,243.180.165.139,82,273,2,14487,attack
192.134.47.109,179.229.101.235,1263,381,5,34138,attack
82.230.83.22,119.27.194.36,264,155,5,19834,attack
5.41.126.162,138.100.168.112,51,416,2,13333,attack
195.70.193.89,212.22.238.11,1451,455,8,25969,attack
89.244.130.66,211.193.24.25,977,409,9,17990,attack
143.161.65.173,175.194.63.119,824,292,9,24642,attack
187.228.141.47,2.149.237.159,1249,78,10,15032,attack
166.154.56.169,51.32.77.229,1003,185,3,31004,attack
236.32.61.229,33.203.50.145,442,314,2,14544,attack
28.68.37.217,154.34.96.147,713,446,8,22581,attack
104.135.65.58,232.86.180.166,1206,425,7,44939,attack
206.6.228.131,248.103.150.181,367,263,8,24275,attack
126.136.181.90,173.184.145.250,1037,394,5,33325,attack
56.95.76.61,171.14.46.81,65,167,5,12123,attack
52.228.226.96,215.147.197.161,622,143,10,39318,attack
247.222.7.125,175.58.153.233,1295,101,0,36450,attack
25.60.199.239,78.244.82.88,1424,225,10,36319,attack
167.221.105.48,81.167.225.225,1113,58,3,22642,attack
70.221.251.31,86.226.20.33,142,391,6,48970,attack
251.58.96.36,132.226.208.121,1324,102,3,10088,attack
132.32.22.207,228.65.170.53,872,158,9,10979,attack
90.171.225.203,128.254.56.59,279,146,2,33211,attack
61.169.125.203,137.99.158.241,298,499,0,31979,attack
229.3.198.201,146.56.231.12,507,296,8,48671,attack
111.206.31.78,6.235.1.238,158,233,9,42671,attack
187.62.180.205,217.83.104.244,867,374,1,21297,attack
52.78.50.24,232.60.189.216,442,419,7,30831,attack
205.144.192.174,75.62.58.193,874,336,7,18451,attack
107.136.84.117,15.157.5.34,1440,187,5,48307,attack
223.90.110.33,236.247.10.115,453,158,5,13662,attack
182.61.61.193,87.186.185.219,1086,315,3,37883,attack
68.5.7.129,29.249.163.129,649,385,4,35398,attack
73.21.120.117,172.29.162.39,800,356,4,24025,attack
214.73.57.213,106.111.161.188,172,219,0,24803,attack
7.167.240.68,216.48.181.148,149,194,1,10484,attack
223.72.32.184,62.95.59.243,783,336,3,36478,attack
109.245.122.240,29.52.209.41,50,197,2,34062,attack
134.122.180.37,214.2.153.238,785,268,6,44286,attack
126.70.20.132,249.85.187.237,853,356,1,32503,attack
115.191.107.205,40.110.63.114,1252,425,6,13816,attack
175.92.131.205,103.208.55.94,573,422,3,45361,attack
201.196.167.90,41.149.13.52,1265,435,0,31312,attack
229.227.243.191,143.252.96.122,1149,223,7,19717,attack
189.26.59.41,29.93.103.10,835,436,5,22824,attack
81.168.192.244,161.113.17.63,666,280,10,47332,attack
79.45.117.208,6.88.137.146,435,303,8,39963,attack
171.128.174.70,200.199.128.155,961,395,3,46756,attack
102.33.241.90,92.250.86.100,753,237,1,35983,attack
158.177.18.203,87.135.41.252,1406,344,5,15176,attack
105.8.164.204,220.154.81.44,388,151,7,35663,attack
160.145.120.28,126.51.236.84,723,411,3,28043,attack
139.255.7.219,126.59.240.206,453,494,2,13841,attack
42.38.135.86,189.117.221.10,918,416,5,47738,attack
168.219.204.209,12.122.34.42,343,320,3,28511,attack
33.177.62.245,19.238.174.170,1288,116,5,18883,attack
229.2.148.159,167.172.182.15,1245,380,7,45206,attack
6.162.34.9,105.65.217.1,750,150,8,11944,attack
113.189.212.30,174.200.160.153,319,144,0,42180,attack
45.13.205.76,131.89.17.39,1180,139,6,23510,attack
86.155.110.50,126.134.97.76,1238,78,10,16208,attack
144.121.173.116,106.55.149.169,545,68,8,36891,attack
188.148.219.24,182.43.41.223,1422,373,5,28809,attack
98.18.231.80,153.97.192.51,554,446,8,21318,attack
25.125.151.9,231.46.90.95,1181,67,10,22297,attack
81.88.180.38,118.95.248.132,1419,262,10,47454,attack
166.14.147.63,118.1.219.147,320,236,8,24355,attack
206.135.155.8,59.186.115.9,1023,148,2,31518,attack
74.214.90.83,130.150.116.231,351,136,4,49693,attack
12.74.34.249,118.255.230.252,1348,261,6,43991,attack
126.131.104.21,20.14.250.252,633,494,3,12190,attack
118.114.36.52,18.152.219.241,523,158,9,14249,attack
4.188.87.227,113.240.61.231,1464,193,10,14894,attack
19.88.141.71,209.223.207.186,963,476,7,44267,attack
184.81.118.164,234.169.213.136,1188,434,5,21945,attack
133.136.140.71,207.204.236.15,894,146,1,38212,attack
243.100.63.239,230.225.245.115,271,51,8,48372,attack
8.110.112.10,21.123.45.241,811,101,10,19567,attack
220.122.250.117,252.218.229.85,889,471,3,45263,attack
225.85.58.196,93.48.46.79,174,375,7,27320,attack
175.51.89.101,224.186.155.37,131,130,3,35717,attack
179.195.4.101,19.240.191.146,621,183,7,10416,attack
124.127.179.137,53.17.174.25,1012,488,8,15142,attack
194.154.99.227,183.205.153.32,354,341,9,39107,attack
144.101.191.75,34.202.144.144,1384,165,0,17828,attack
134.244.158.100,17.45.233.4,1021,333,6,24600,attack
174.52.208.127,104.113.32.133,756,90,4,12606,attack
213.163.205.212,66.238.132.224,935,180,4,30613,attack
11.230.143.108,239.12.129.140,726,151,4,18174,attack
48.254.187.158,141.7.121.207,712,493,1,37361,attack
162.109.137.111,34.102.152.5,722,277,5,44960,attack
56.207.223.65,28.19.143.215,1008,274,4,33659,attack
243.46.50.51,114.106.161.44,1154,335,9,21024,attack
154.218.64.23,201.238.10.208,1056,149,0,33916,attack
161.145.196.6,242.160.110.70,766,90,7,43393,attack
106.124.1.21,230.45.211.73,583,309,1,29720,attack
252.82.133.101,160.164.252.26,681,438,2,28480,attack
91.88.12.220,173.39.31.94,828,51,5,23413,attack
49.50.225.126,243.29.247.205,1347,180,9,13133,attack
23.194.231.40,47.77.82.35,453,406,9,17775,attack
62.65.88.136,13.207.216.67,224,232,3,14868,attack
229.213.241.33,110.219.121.21,556,147,6,28075,attack
140.243.71.181,5.154.104.7,202,288,3,26819,attack
66.53.159.119,225.54.51.180,1451,169,8,29431,attack
244.122.78.90,217.223.8.38,1173,218,2,30426,attack
25.67.68.198,13.153.231.110,694,283,10,49538,attack
137.159.99.217,231.4.227.234,1347,460,7,13790,attack
49.198.132.255,49.170.162.149,475,199,1,30397,attack
8.249.63.32,44.81.225.34,1432,215,1,39276,attack
226.3.193.41,172.75.222.228,813,86,5,15162,attack
130.61.102.31,46.250.214.27,369,328,5,36924,attack
254.189.119.191,141.80.99.38,1384,278,5,10036,attack
230.204.119.63,147.253.132.100,1125,224,7,25836,attack
39.73.188.149,189.205.181.242,395,454,9,48464,attack
160.15.100.125,116.229.149.132,1227,130,9,46428,attack
178.180.130.76,45.213.113.178,1208,467,9,12882,attack
201.117.49.76,98.40.222.57,71,344,0,43074,attack
140.103.36.161,102.176.231.131,538,406,7,15449,attack
137.108.171.135,232.240.149.37,1212,95,8,19410,attack
104.247.26.10,181.172.10.150,195,141,4,41907,attack
247.237.121.212,33.183.195.114,913,279,6,20331,attack
210.62.67.126,49.25.254.198,1305,415,8,24130,attack
27.100.212.229,237.59.135.243,441,405,1,16559,attack
50.150.233.225,238.10.112.168,543,354,4,10445,attack
233.93.127.122,118.88.68.99,345,381,7,32145,attack
185.74.10.110,80.162.239.74,208,228,3,37911,attack
153.85.104.182,145.121.110.33,274,250,5,33019,attack
221.214.94.231,226.158.215.53,663,338,0,25942,attack
65.21.101.194,12.190.93.135,591,285,3,40207,attack
94.2.47.214,90.130.118.71,1008,321,0,19510,attack
51.132.102.251,45.109.179.236,1042,101,8,48914,attack
182.52.99.33,105.90.57.35,858,195,4,45042,attack
219.168.97.33,26.86.36.211,1264,225,3,23330,attack
218.190.204.222,26.133.173.3,377,332,1,35809,attack
236.255.68.44,247.128.249.143,983,209,10,39285,attack
105.203.187.76,146.20.190.226,1344,290,8,29092,attack
126.90.184.115,88.30.195.255,1226,67,6,40634,attack
28.22.190.206,141.26.71.201,1457,104,3,49550,attack
5.180.211.76,83.241.122.23,1118,346,10,10459,attack
191.145.13.247,202.18.177.96,135,326,10,12484,attack
43.177.13.40,80.46.251.63,151,362,7,28432,attack
198.26.201.76,184.97.227.190,1003,349,8,26400,attack
244.3.214.29,105.208.72.93,906,376,9,34689,attack
54.134.172.162,191.122.52.80,817,456,6,46726,attack
231.84.168.127,137.28.128.204,1137,467,7,16316,attack
130.133.194.100,177.238.177.76,973,181,5,10092,attack
98.93.158.139,178.7.24.187,1064,288,0,19342,attack
122.146.84.204,25.224.142.179,425,57,8,24050,attack
51.212.42.80,119.141.90.200,292,495,7,15749,attack
196.5.241.145,190.206.240.134,1092,471,9,23944,attack
102.136.30.2,204.149.48.181,1021,263,5,28177,attack
129.83.170.96,217.240.207.29,362,206,1,29323,attack
212.183.218.243,166.135.78.162,439,221,2,35712,attack
10.130.22.221,46.156.35.230,1217,134,4,25611,attack
71.168.146.79,113.108.70.193,899,108,5,33522,attack
113.240.242.248,225.64.84.174,1330,484,4,31091,attack
1.6.69.35,10.154.235.255,1129,248,7,24156,attack
46.69.22.232,226.104.182.158,1041,417,1,15605,attack
174.39.239.118,33.52.31.1,889,262,2,39554,attack
107.135.239.228,138.88.73.100,167,71,8,19754,attack
185.9.202.130,202.250.10.115,134,66,7,24194,attack
180.238.195.136,205.67.190.239,1236,315,1,22858,attack
18.91.233.169,146.41.132.110,507,109,2,26301,attack
87.194.10.94,218.40.209.90,1214,300,8,40738,attack
116.26.213.68,223.59.228.187,436,69,8,26997,attack
228.114.187.42,78.125.56.236,490,152,10,14172,attack
212.209.32.78,166.73.109.181,476,368,7,45642,attack
165.62.233.67,219.179.2.87,1473,408,4,18503,attack
216.125.212.13,239.148.131.204,1370,324,10,47512,attack
13.7.72.173,148.145.24.94,704,54,1,18809,attack
162.10.107.189,146.18.33.37,359,329,2,40963,attack
145.93.154.241,16.109.114.1,795,245,0,29866,attack
237.134.149.254,168.228.252.42,949,242,5,47685,attack
83.154.109.28,94.127.197.133,1484,197,3,32098,attack
23.189.70.19,12.23.156.214,1486,453,5,29348,attack
246.239.150.8,159.88.61.148,1062,112,1,20120,attack
151.231.49.99,135.150.31.252,384,310,2,22526,attack
253.157.134.193,31.219.42.118,64,267,5,46554,attack
95.112.162.147,49.143.108.93,835,240,3,12083,attack
193.248.125.103,145.240.217.215,1124,130,4,17023,attack
119.198.172.99,180.151.84.153,1381,148,9,36183,attack
104.83.68.54,16.96.236.89,805,378,4,23362,attack
181.71.33.167,218.233.129.169,283,193,7,29361,attack
72.253.30.5,61.249.232.240,585,99,2,31282,attack
125.52.148.186,13.172.40.170,403,488,10,32813,attack
38.6.88.104,227.130.169.196,227,77,4,21138,attack
23.171.13.88,238.20.164.98,753,201,3,49789,attack
176.8.132.240,99.52.239.152,504,166,5,11608,attack
165.75.81.117,110.97.207.96,395,489,3,28188,attack
209.242.196.249,1.203.25.94,804,226,7,13503,attack
183.110.40.90,204.224.89.228,1452,111,0,34917,attack
153.2.255.203,172.30.203.159,1274,403,2,28091,attack
28.59.119.181,140.36.112.126,1339,200,2,49977,attack
191.162.162.138,22.224.137.126,222,357,9,25240,attack
174.72.176.58,121.174.222.158,174,232,5,20997,attack
208.232.254.111,229.145.137.27,1485,340,6,44979,attack
98.49.135.6,30.61.95.186,1138,163,2,23722,attack
10.133.115.169,213.244.161.15,1371,146,6,14611,attack
215.255.12.52,235.214.154.3,1236,415,8,29907,attack
129.18.136.233,181.38.239.57,1486,302,5,47906,attack
205.119.49.53,237.218.55.98,112,148,8,22532,attack
37.253.161.235,59.253.7.249,742,180,7,28786,attack
129.153.243.8,170.52.208.180,71,406,10,40764,attack
234.229.57.161,140.208.229.90,430,124,7,37454,attack
206.242.170.152,1.81.155.244,516,307,10,47549,attack
227.231.68.90,127.31.82.220,1042,420,2,48743,attack
195.185.65.40,95.25.69.187,722,240,0,32162,attack
42.175.175.78,45.5.187.34,716,402,5,40953,attack
159.249.7.163,1.119.89.86,546,168,4,37901,attack
253.11.31.42,194.253.152.18,1293,177,8,42586,attack
185.172.38.34,115.71.109.173,1299,103,6,16032,attack
121.115.117.200,73.98.118.66,999,473,9,21814,attack
29.241.4.57,108.216.12.199,1122,167,3,15420,attack
49.175.9.54,25.153.147.252,68,423,5,38837,attack
163.89.38.152,181.145.255.61,805,174,4,39793,attack
244.248.20.5,75.11.137.12,434,149,8,35319,attack
39.67.220.107,200.108.135.238,508,67,9,34864,attack
145.39.240.123,129.93.99.55,815,183,8,14956,attack
89.148.36.153,210.13.243.63,177,406,0,31221,attack
132.87.34.138,140.204.110.28,1083,202,2,35185,attack
114.129.215.101,84.231.192.144,364,355,3,18933,attack
161.103.59.234,125.74.169.93,1217,231,0,31460,attack
206.8.233.69,175.65.138.169,1243,266,10,21259,attack
251.70.80.159,89.157.255.42,689,448,8,27014,attack
90.83.121.38,237.153.83.172,608,100,1,39510,attack
234.210.231.28,235.157.7.5,736,269,0,25467,attack
191.150.55.51,173.57.24.66,532,77,8,28793,attack
168.123.191.71,97.76.142.166,722,484,8,31017,attack
122.228.86.33,70.90.99.241,145,382,4,40999,attack
17.17.160.104,210.35.164.33,1002,114,6,16648,attack
32.224.103.139,212.245.238.99,222,380,4,17468,attack
247.101.98.114,111.251.120.31,956,187,4,48042,attack
43.218.19.166,15.98.213.62,1077,121,5,38333,attack
190.220.142.168,66.61.131.67,521,375,6,38661,attack
159.1.244.151,204.143.240.51,1338,145,8,25113,attack
104.48.7.214,46.77.233.67,1353,298,1,38748,attack
116.81.191.71,139.214.158.122,631,396,10,32898,attack
142.73.254.233,10.82.62.55,251,200,2,30064,attack
145.155.253.98,58.119.243.4,998,216,9,33768,attack
77.63.213.80,102.137.72.213,1420,434,0,43893,attack
124.9.144.156,6.39.240.199,1440,487,10,13053,attack
25.59.8.186,6.88.193.251,1299,249,1,16810,attack
14.91.66.79,35.14.153.238,343,312,0,43054,attack
139.195.210.192,39.181.67.224,1249,51,9,41048,attack
156.107.250.236,143.231.14.231,164,444,2,36369,attack
48.234.157.9,238.9.120.162,1188,467,3,14586,attack
203.247.47.65,209.51.79.146,1339,216,1,19178,attack
116.238.232.194,231.242.13.191,351,453,4,35195,attack
197.139.180.86,250.55.66.221,1395,449,1,35767,attack
58.152.49.163,54.55.52.83,47,65,9,33132,attack
86.255.241.100,103.13.182.245,117,468,3,30291,attack
21.144.38.252,182.74.203.169,1046,103,10,21195,attack
179.150.36.145,30.131.112.177,1458,375,4,48063,attack
195.143.253.91,234.235.152.244,1218,171,4,40219,attack
103.117.113.214,198.188.89.76,1386,388,10,44196,attack
142.196.38.65,192.248.6.71,1124,259,2,40242,attack
56.58.148.229,171.215.152.17,203,403,3,29163,attack
220.190.247.60,2.242.227.21,302,411,6,40445,attack
93.134.129.143,194.71.164.191,1233,59,1,40492,attack
253.54.184.174,68.38.31.245,386,476,0,34215,attack
130.34.85.41,222.68.208.215,453,467,5,48507,attack
41.125.10.209,82.101.140.33,556,341,2,36126,attack
73.148.180.216,215.7.121.70,570,261,6,30706,attack
10.37.88.254,252.129.121.234,875,180,4,37954,attack
21.44.175.126,24.222.226.33,69,229,7,27990,attack
101.65.109.240,140.58.117.248,1040,203,6,10562,attack
65.173.69.119,210.170.237.233,247,114,7,38290,attack
1.182.250.217,41.39.29.250,1004,393,0,18297,attack
83.255.140.58,204.253.41.186,869,170,9,12864,attack
135.3.64.139,93.236.2.124,225,116,4,29921,attack
76.117.202.4,233.54.127.131,1020,417,3,13811,attack
19.45.143.255,194.118.93.200,897,225,9,11250,attack
249.106.15.162,159.49.81.127,282,442,3,40556,attack
92.102.235.145,115.70.121.162,120,125,5,27876,attack
126.157.15.15,122.4.136.214,67,272,9,35611,attack
198.26.128.209,195.235.74.214,972,245,7,37486,attack
87.255.98.103,130.45.184.50,1050,254,8,48477,attack
187.214.1.126,17.137.228.197,977,456,4,39498,attack
177.233.222.20,66.96.177.74,1255,167,0,42561,attack
146.146.152.170,32.210.184.52,307,187,2,21264,attack
28.155.44.203,94.99.92.6,1372,376,0,25945,attack
171.148.129.129,170.128.34.96,223,190,7,27774,attack
129.170.116.242,8.179.148.254,719,454,6,19934,attack
205.152.40.151,192.177.202.207,381,199,10,14736,attack
114.137.196.38,16.198.180.41,97,52,9,12886,attack
104.123.82.63,55.255.71.166,936,317,0,17838,attack
138.219.151.45,226.165.120.231,1450,267,6,31061,attack
28.142.23.199,21.31.79.82,784,111,6,45307,attack
204.158.126.58,127.138.132.128,760,70,9,37466,attack
81.67.10.45,205.56.166.2,240,256,3,41572,attack
120.198.253.61,90.43.52.71,305,239,0,48578,attack
224.18.5.114,195.81.145.201,380,166,1,43538,attack
219.99.75.103,24.212.84.134,482,307,2,30016,attack
252.18.85.93,246.124.166.79,740,91,5,22219,attack
251.46.109.204,164.84.11.214,459,226,7,43473,attack
163.50.211.217,133.72.62.111,662,202,1,24757,attack
95.24.120.13,23.89.242.132,533,350,8,35648,attack
126.56.149.105,185.102.178.6,1443,450,2,29862,attack
85.20.108.167,18.124.120.161,459,345,8,14560,attack
149.146.174.238,185.200.231.187,214,435,3,18642,attack
129.155.166.41,152.204.160.110,732,419,8,19297,attack
79.179.218.74,96.168.185.40,204,281,4,39404,attack
82.211.110.160,38.199.222.66,202,165,9,20705,attack
43.231.156.85,34.188.221.231,1241,278,4,24493,attack
71.95.75.221,184.107.236.231,1034,396,0,30349,attack
220.5.229.137,165.65.145.27,1487,58,10,49612,attack
161.71.46.21,76.204.49.118,248,394,6,22623,attack
47.25.31.191,208.106.51.72,358,185,6,24965,attack
45.164.6.86,149.45.78.169,613,252,1,31939,attack
188.77.135.84,210.57.191.189,870,474,5,23846,attack
100.229.1.249,243.217.191.13,894,303,0,43685,attack
72.41.207.9,240.72.179.198,194,282,9,40378,attack
209.58.160.226,150.93.129.25,359,467,7,19625,attack
198.118.158.155,144.17.214.35,45,112,10,37739,attack
122.132.79.85,217.60.43.193,720,268,10,49557,attack
79.131.202.57,169.79.32.97,1201,467,5,23478,attack
79.205.66.77,17.9.233.128,727,71,4,30846,attack
99.62.126.12,42.88.220.37,409,366,7,25820,attack
49.78.177.91,91.52.12.243,1191,277,9,13173,attack
81.245.189.152,142.240.125.131,70,174,6,20250,attack
213.38.184.211,36.29.193.230,383,92,5,16061,attack
103.222.36.216,35.113.158.116,952,192,7,11027,attack
221.57.11.117,171.72.108.169,1433,387,3,27204,attack
41.42.222.34,54.212.61.213,600,423,5,11408,attack
147.56.42.58,1.6.168.160,191,120,0,23211,attack
192.231.81.235,249.109.210.114,748,470,3,35461,attack
168.77.225.101,247.13.78.195,1322,265,7,18104,attack
36.40.43.174,204.111.26.64,598,490,7,47968,attack
57.190.172.181,144.228.160.159,1273,335,9,42980,attack
2.143.178.153,130.245.249.227,831,448,6,38031,attack
76.243.59.235,225.165.134.2,368,358,6,39842,attack
19.59.34.252,94.146.37.116,858,326,0,40484,attack
183.186.96.8,170.2.35.133,1085,468,9,32397,attack
226.121.125.188,234.141.107.182,338,74,7,38832,attack
55.30.105.224,18.223.176.44,487,239,0,18641,attack
15.97.78.180,35.230.83.140,499,437,7,24484,attack
129.171.58.80,81.251.219.6,841,375,6,43363,attack
173.46.97.68,250.189.45.67,783,442,2,44188,attack
55.155.78.90,221.144.128.218,858,162,1,32678,attack
148.221.179.218,43.115.133.19,1064,156,2,47517,attack
140.231.150.212,95.162.99.62,1133,484,2,10687,attack
250.176.253.154,123.25.24.94,165,240,1,38455,attack
136.254.219.163,96.18.8.28,1298,399,1,44853,attack
89.84.20.153,43.219.53.129,807,484,6,38774,attack
2.46.21.243,148.131.132.191,574,238,1,12341,attack
53.70.180.145,150.243.111.215,924,214,6,42953,attack
22.77.93.241,31.9.182.109,1047,391,1,47139,attack
128.249.232.176,157.65.109.168,284,166,1,26838,attack
146.179.163.93,117.32.54.153,844,93,0,38198,attack
87.5.73.230,217.161.240.64,527,237,8,16492,attack
95.196.105.215,181.117.191.176,1490,466,0,22570,attack
136.237.76.41,25.145.216.230,1152,85,6,41415,attack
212.61.147.105,136.130.67.67,868,195,3,48705,attack
86.183.51.132,100.242.85.223,1105,350,4,37074,attack
234.54.217.102,22.56.67.205,162,207,5,48228,attack
39.89.236.149,61.4.50.41,71,243,1,33697,attack
135.197.194.33,11.213.29.129,378,156,1,10831,attack
42.71.252.128,237.238.111.122,713,295,7,38436,attack
133.205.30.73,29.15.240.119,738,232,5,37395,attack
232.109.163.34,176.47.104.220,180,89,5,42932,attack
19.19.89.245,44.110.97.71,453,309,7,11517,attack
218.206.39.59,12.214.135.191,584,294,0,20698,attack
222.28.37.71,107.201.144.138,1147,255,9,18617,attack
90.58.221.173,36.218.242.19,1326,353,2,28498,attack
59.141.213.140,104.27.205.85,1349,91,2,16574,attack
